title
"title: Ordinary Heroes;actors: Giorgio Tirabassi, Marco Bocci, Cristiana Capotondi, Greta Scarano, Michela Cescon, Diane Fleri, Carlo Calderone, Claudio Gioè, Romina Mondello, Orlando Cinque, Luigi Maria Burruano, Riccardo Scamarcio, Lorenza Indovina, Ivana Lotito, Pierfrancesco Poggi, Marco Leonardi, Anna Ferruzzo, Peppino Mazzotta, Giorgio Marchesi;release_year: 2018;rating: TV-MA;description: Get an intimate look at four engaged citizens whose courage, sense of civic duty and ultimate sacrifice helped to transform Italian society.;"
"title: Salt Fat Acid Heat;actors: Samin Nosrat;release_year: 2018;rating: TV-PG;description: Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way.;"
"title: 22 July;actors: Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith;release_year: 2018;rating: R;description: After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.;"
"title: Blood Pact;actors: Guilherme Fontes, Ravel Cabral, Jonathan Haagensen, André Ramiro, Adriano Garib, Mel Lisboa, Cristina Lago;release_year: 2018;rating: TV-MA;description: An ambitious TV reporter uses risky and ethically questionable methods to report on gang wars and police corruption in the Amazon port of Belém, Brazil.;"
"title: Tales From the Hood 2;actors: Keith David, Bryan Batt, Alexandria Deberry, Bill Martin Williams, Martin Bats Bradford, Kendrick Cross, Jasmine Akakpo, Kedrick Brown;release_year: 2018;rating: R;description: Buckle up for an anthology of socially conscious horror stories that focus on the perils of racial injustice and the price of ignorance.;"
"title: Mo Amer: The Vagabond;actors: Mo Amer;release_year: 2018;rating: TV-MA;description: Arab-American comedian Mo Amer recounts his life as a refugee comic, from traveling with the name Mohammed to his long path to citizenship.;"
"title: Pulang;actors: Puteri Aishah, Remy Ishak, Alvin Wong;release_year: 2018;rating: TV-14;description: Thom tells her grandson about his grandfather, a sailor who left 61 years ago to seek his fortune, and asks him to find out what happened to her spouse.;"
"title: Sofia the First;actors: Ariel Winter, Darcy Rose Byrnes, Sara Ramirez, Tim Gunn, Coco Grayson, Travis Willingham, Wayne Brady, Jess Harnell, Meghan Strange, Zach Callison;release_year: 2017;rating: TV-Y;description: When her commoner mother marries the king, average-girl Sofia finds that being a real princess isn't all it's cracked up to be.;"
"title: Seven in Heaven;actors: Travis Tope, Haley Ramm, Jacinda Barrett, Gary Cole, Dylan Everett, Clark Backo, Vinson Tran, Paulino Nunes, Jeff Clarke;release_year: 2018;rating: PG-13;description: Two teenagers step into a secret closet and emerge in a terrifying alternate reality. They must find their way back before the door shuts forever.;"
"title: Dancing Queen;actors: Justin ""Alyssa Edwards"" Johnson;release_year: 2018;rating: TV-14;description: Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day – and the drag world by night.;"
title: Empire Games;actors: Jim O'Brien;release_year: 2018;rating: TV-14;description: Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.;
"title: LOST SONG;actors: Konomi Suzuki, Yukari Tamura, Misaki Kuno, Chiaki Takahashi, Seiichiro Yamashita, Asami Seto, Yu Serizawa, Ai Kayano, Tsuyoshi Koyama, Yuto Suzuki, Mitsuru Ogata, Hiroshi Ito;release_year: 2018;rating: TV-14;description: War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song.;"
"title: Malevolent;actors: Florence Pugh, Ben Lloyd-Hughes, Celia Imrie, James Cosmo, Scott Chambers, Georgina Bevan;release_year: 2018;rating: TV-MA;description: A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.;"
"title: Private Life;actors: Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon, John Carroll Lynch, Denis O'Hare, Desmin Borges, Tracee Chimo, Siobhan Fallon Hogan, Emily Robinson;release_year: 2018;rating: R;description: Struggling to conceive, a couple in their 40s are almost out of options – until a sliver of hope arrives in the form of their visiting step-niece.;"
"title: Super Monsters Save Halloween;actors: Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr;release_year: 2018;rating: TV-Y;description: The Super Monsters use their powers to get their neighbors in the Halloween spirit, then help a nervous friend see there's nothing to be afraid of.;"
"title: YG Future Strategy Office;actors: Seungri, Yoo Byung Jae, Lee Jai-jin, Jinu, Son Se-bin, Kim Ga-eun, Park Choong-hwan, Baek Yeong-gwang, Choi Sin-deuk;release_year: 2018;rating: TV-MA;description: K-pop star Seungri, BIGBANG's youngest member, tries to lead a team of bumbling staff at YG's Future Strategy Office in this mockumentary sitcom.;"
"title: Violet Evergarden: Special;actors: Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Kouki Uchiyama, Minori Chihara, Haruka Tomatsu, Yoko Hikasa;release_year: 2018;rating: TV-PG;description: Auto Memory Doll Violet Evergarden writes letters for people who can’t, learning about her war-torn country and her own hardened heart along the way.;"
"title: The Black Prince;actors: Satinder Sartaaj, Shabana Azmi, Jason Flemyng, Amanda Root, Rup Magon, Sophie Stevens, Keith Duffy, David Essex, Leanne Joyce, Ranjit Singh Shubh;release_year: 2017;rating: PG-13;description: After being exiled to England as a child, a Punjabi prince struggles to return to his homeland and his Sikh faith in this historical drama.;"
"title: Truth or Dare;actors: Cassandra Scerbo, Brytni Sarpy, Mason Dye, Harvey Guillen, Luke Baines, Ricardo Hoyos, Alexxis Lemire, Christina Masterson, Heather Langenkamp;release_year: 2017;rating: TV-MA;description: A game of ""Truth or Dare"" among college friends on spring break turns deadly when a demon seems determined to use it to kill them all.;"
"title: Death Race: Beyond Anarchy;actors: Zach McGowan, Danny Glover, Frederick Koehler, Danny Trejo, Christine Marzano, Cassie Clare, Yennis Cheung, Lucy Aarden;release_year: 2017;rating: R;description: An ex-racecar driver is sent to a barbaric prison where, to get pardoned, he must defeat the inmate known as Frankenstein in a lethal ""Death Race."";"
"title: Eric ldle's What About Dick?;actors: Russell Brand, Billy Connolly, Tim Curry, Eric Idle, Eddie Izzard, Jane Leeves, Jim Piddock, Tracey Ullman, Sophie Winkleman;release_year: 2012;rating: TV-MA;description: In a madcap stage play from Monty Python icon Eric Idle, comic greats perform the decline and fall of the British Empire ... as told through a piano.;"
"title: Joe Rogan: Strange Times;actors: Joe Rogan;release_year: 2018;rating: TV-MA;description: Outspoken as ever, comedian Joe Rogan takes on current culture, pro wrestling, pot laws, cats, vegans and more in a stand-up special shot in Boston.;"
"title: Monty Python Best Bits (mostly);actors: Hugh Bonneville, Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin;release_year: 2014;rating: TV-MA;description: Prominent comedians pay tribute to Monty Python's best work in this five-part series, along with selected clips of sketches.;"
"title: Monty Python Conquers America;actors: Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, John Cleese;release_year: 2008;rating: TV-MA;description: Follow the evolution of the British sketch comedy troupe that redefined humor and shaped an entire generation of American comics.;"
"title: Monty Python Live (Mostly): One Down, Five to Go;actors: John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin;release_year: 2014;rating: TV-MA;description: Live from London in a sold-out final show, surviving members of the British comedy troupe reprise old roles and break out in irreverent song and dance.;"
"title: Monty Python: Before the Flying Circus;actors: Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, John Cleese;release_year: 2000;rating: TV-MA;description: Discover how six seemingly ordinary but supremely talented men became Monty Python, sketch comedy's revolutionary comedy troupe.;"
"title: Monty Python: Live at Aspen;actors: Robert Klein, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Graham Chapman, Eddie Izzard;release_year: 1998;rating: TV-MA;description: The members of Monty Python reunite on stage to talk about making their iconic show that changed sketch comedy forever.;"
"title: Monty Python: Live at The Hollywood Bowl;actors: Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Neil Innes, Carol Cleveland;release_year: 1982;rating: R;description: Film clips and Terry Gilliam animations feature in this live-to-tape performance of greatest hits, including ""Travel Agent"" and ""Solo Wrestling."";"
"title: Monty Python: The Meaning of Live;actors: John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Mike Myers, Graham Chapman, Stephen Hawking;release_year: 2014;rating: TV-MA;description: From heyday to curtain call, this documentary offers a rare glimpse of the legendary Monty Python troupe as it stages live shows after a long hiatus.;"
"title: Monty Python's Almost the Truth;actors: Graham Chapman, Eric Idle, John Cleese, Michael Palin, Terry Gilliam, Terry Jones;release_year: 2009;rating: TV-MA;description: The legacy of comedy group Monty Python, whose irreverent brand of humor has tickled the ribs of millions, is explored in this documentary.;"
"title: Monty Python's Fliegender Zirkus;actors: Graham Chapman, John Cleese, Eric Idle, Terry Jones, Michael Palin, Connie Booth;release_year: 1972;rating: TV-MA;description: The Pythons elevate the absurd to new heights and bring their sketches to German TV, working in phonetic German, at times with an Australian accent.;"
"title: Monty Python's Flying Circus;actors: John Cleese, Graham Chapman, Terry Jones, Eric Idle, Michael Palin, Terry Gilliam;release_year: 1974;rating: TV-14;description: The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing.;"
"title: Monty Python's Life of Brian;actors: Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland;release_year: 1979;rating: R;description: Born in a stable in Judea, Brian grows up to join a group of anti-Roman zealots, but his fate keeps getting confused with that of a certain carpenter.;"
"title: Monty Python's Personal Best;actors: John Cleese, Terry Gilliam, Terry Jones, Graham Chapman, Michael Palin, Eric Idle;release_year: 2005;rating: TV-MA;description: Original members of the iconic Monty Python comedy troupe pick their all-time favorite sketches from their groundbreaking television series.;"
"title: Parrot Sketch Not Included: Twenty Years of Monty Python;actors: Steve Martin, John Cleese, Graham Chapman, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Connie Booth;release_year: 1989;rating: TV-14;description: Presented by Steve Martin, this anthology draws from “Flying Circus” and “Fliegender Zirkus” to mark the 20th anniversary of the TV series.;"
"title: The Meaning of Monty Python;actors: empty;release_year: 2013;rating: TV-MA;description: Five Pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""The Meaning of Life."";"
"title: 25 Kille;actors: Guggu Gill, Yograj Singh, Sonia Mann, Jimmy Sharma, Sapna Bassi, Lakha Lakhwinder Singh, Sandeep Kaur Sandy, Sardar Sohi;release_year: 2016;rating: TV-14;description: Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.;"
"title: A Witches' Ball;actors: Morgan Neundorf, Karen Slater, Loukia Ioannou, Will Ennis, Renee Stein, Keith Cooper, Paul Mason, Lisa Scenna, Ashley Rogan;release_year: 2017;rating: PG;description: Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast.;"
"title: Agyaat;actors: Adesh Bhardwaj, Rasika Dugal, Joy Fernandes, Ravi Kale, Ishtiyak Khan, Priyanka Kothari, Kali Prasad Mukherjee, Nitin Reddy, Gautam Rode, Howard Rosemeyer;release_year: 2009;rating: TV-14;description: A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.;"
"title: Anjaan;actors: Suriya, Samantha Ruth Prabhu, Vidyut Jammwal, Manoj Bajpayee, Soori;release_year: 2014;rating: TV-14;description: Mild-mannered Krishna comes to Mumbai to search for his gang-leader brother, and quickly finds himself in way over his head.;"
"title: Bathinda Express;actors: Deep Joshi, Jasmine Kaur, Mohit Bhaskar, Vijay S. Kumar, Prince Kanwaljit Singh, Tarlochan Singh, Harsh Sethi;release_year: 2016;rating: TV-14;description: An ambitious young athlete endeavors to revive his floundering running career after falling prey to negative influences.;"
"title: Delhi 6;actors: Abhishek Bachchan, Sonam Kapoor, Waheeda Rehman, Om Puri, Prem Chopra, Atul Kulkarni, Pavan Malhotra, Divya Dutta, Deepak Dobriyal, Sheeba Chaddha;release_year: 2009;rating: TV-14;description: In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots.;"
"title: Dev.D;actors: Abhay Deol, Mahie Gill, Kalki Koechlin, Sindbad Phgura, Ammo 'Too Sweet', Jimi the Quiff, Parakh Madan;release_year: 2009;rating: TV-MA;description: Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.;"
"title: Dil Vil Pyaar Vyaar;actors: Gurdas Maan, Neeru Bajwa, Jassi Gill, Rajiv Thakur, Khushdeed Maan, Manav Vij, Raj Jhinger, Shruti Sodhi, Meher Vij;release_year: 2014;rating: TV-PG;description: Agam Singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry – but they want him to marry first.;"
"title: Dushman;actors: Kartar Cheema, Jashan Singh, Sakshi Gulati, Gulshan Grover, Savita Bhatti, Yashpal Sharma, Mohit Sharma, Sukhwinder Sohi;release_year: 2017;rating: TV-14;description: An Indian hotel waiter forms an unlikely bond with a Pakistani colleague when the establishment’s criminal owner threatens to ruin both their lives.;"
"title: Ek Main Aur Ekk Tu;actors: Kareena Kapoor, Imran Khan, Boman Irani, Ram Kapoor, Ratna Pathak Shah, Zenobia Shroff, Soniya Mehra, Akshat Verma, Dana Lewis, Rajesh Khattar;release_year: 2012;rating: TV-14;description: Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.;"
"title: Freedom at Midnight;actors: Antony Varghese, Vinayakan, Chemban Vinod Jose, Tito Wilson, Sinoj Varghese, Aswathy Manoharan;release_year: 2018;rating: TV-MA;description: Jailed after becoming entangled in the murder of a cop, a prisoner assembles a team of inmates to hatch a plan for making a getaway.;"
"title: Haani;actors: Sarabjit Cheema, Mahreen Kaleka, Harbhajan Mann, Anuj Sachdeva, Rupan Bal, Sonia Mann;release_year: 2013;rating: TV-14;description: When a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart.;"
"title: Happy Go Lucky;actors: Amrinder Gill, Harish Verma, Sumeet Sandhu, Gurpreet Guggi, B.N. Sharma, Praneet Bhatt, Kuldeep Sharma;release_year: 2014;rating: TV-14;description: Three sisters seem to be ideal brides for three brothers. But when the girls' father won't allow the marriages, the boys use trickery to pull it off.;"
"title: Harishchandrachi Factory;actors: Nandu Madhav, Vibhawari Deshpande, Ambarish Deshpande, Mohit Gokhale, Dilip Joglekar, Dheeresh Joshi, Ketan Karande, Atharva Karve, Mayur Khandge, Sandip Pathak;release_year: 2009;rating: TV-PG;description: Against a backdrop of burgeoning social unrest, a neophyte filmmaker makes history in 1913 as the director of India's first feature-length film.;"
"title: Hot Date;actors: Emily Axford, Brian Murphy;release_year: 2018;rating: TV-MA;description: Interconnected sketches and performances skewer the madness and misunderstandings of modern relationships.;"
"title: Jagga Jasoos;actors: Ranbir Kapoor, Katrina Kaif, Saurabh Shukla, Saswata Chatterjee, Rajatabha Dutta, Saravajeet Tiwari;release_year: 2017;rating: TV-14;description: An eccentric, self-proclaimed detective goes on an action-packed hunt for his missing father, with an awkward but adventurous journalist by his side.;"
"title: Jatt James Bond;actors: Gippy Grewal, Gurpreet Guggi, Zarine Khan;release_year: 2014;rating: TV-14;description: Shinda loves Laali but can't have her, so he and his friends come up with an elaborate plan to solve all their problems and win her.;"
"title: Jodhaa Akbar;actors: Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha, Suhasini Mulay, Ila Arun, Raza Murad, Kulbhushan Kharbanda, Abeer Abrar;release_year: 2008;rating: TV-14;description: In 16th-century India, what begins as a strategic alliance between a Mughal emperor and a Hindu princess becomes a genuine opportunity for true love.;"
"title: Judge Singh LLB;actors: Ravinder Grewal, B.N. Sharma, Sardar Sohi, Chandan Prabhakar, Anita Devgan, Harpal Singh, Hardeep Gill, Surbhi Mahendru;release_year: 2015;rating: TV-PG;description: Framed by a politician for committing murder, a lower-class boy hires the only counsel he can afford: a lawyer with no courtroom experience.;"
"title: Kaminey;actors: Shahid Kapoor, Priyanka Chopra, Deb Mukherjee, Shivkumar Subramaniam, Chandan Roy Sanyal, Hrishikesh Joshi, Amole Gupte, Patricia Bull, Carlos Paca, Eric Santos;release_year: 2009;rating: TV-14;description: A young man pursues his dreams of wealth by breaking the law, while his twin brother tries to better his life through hard work and honesty.;"
"title: Khido Khundi;actors: Ranjit Bawa, Mandy Takhar, Manav Vij, Elnaaz Norouzi, Mahavir Bhullar, Guggu Gill, Seema Kaushal, Sukhbir Singh;release_year: 2018;rating: TV-14;description: An embittered former hockey star must engage with the sport again to help his brother assemble a team for a momentous match against the British.;"
"title: Khoobsurat;actors: Sonam Kapoor, Fawad Khan, Kiron Kher, Ratna Pathak Shah, Amir Raza Hussain, Ashok Banthia, Kaizaad Kotwal, Rishabh Chaddha;release_year: 2014;rating: TV-14;description: A free-spirited doctor is hired to assist an injured king and winds up challenging his family's tradition-bound lifestyle as she falls for his son.;"
"title: Kisaan;actors: Jackie Shroff, Arbaaz Khan, Sohail Khan, Diya Mirza, Nauheed Cyrusi, Sharat Saxena, Dalip Tahil, Vishwajeet Pradhan, Sarfaraz Khan;release_year: 2009;rating: TV-14;description: A bitter family battle ensues between a father and his sons when a businessman makes a deal that entices farmers to sell off their properties.;"
"title: Kismat Konnection;actors: Shahid Kapoor, Vidya Balan, Juhi Chawla, Om Puri, Vishal Malhotra, Karanvir Bohra, Amit Varma;release_year: 2008;rating: TV-14;description: A man finds his lucky charm in the form of a woman whom he had once clashed with on every level, but on whose presence he must now rely to succeed.;"
"title: Kurbaan;actors: Kareena Kapoor, Saif Ali Khan, Om Puri, Diya Mirza, Vivek Oberoi, Kulbhushan Kharbanda, Kiron Kher, Rupinder Nagra, Nauheed Cyrusi;release_year: 2009;rating: TV-14;description: When a young Indian couple moves to the American suburbs, they are shocked to discover that they've become enmeshed in a secret terrorist plot.;"
"title: Lock;actors: Gippy Grewal, Gurpreet Guggi, Smeep Kang, Geeta Basra, Karamjit Anmol, Harpal Singh, Vikram Grover, Priyanka Sharma;release_year: 2016;rating: TV-14;description: A disillusioned rickshaw driver in Punjab dreams of moving to Dubai, but his plan to butter up his would-be benefactor goes horribly wrong.;"
"title: Luv Shuv Tey Chicken Khurana;actors: Kunal Kapoor, Huma Qureshi, Rajesh Sharma, Vipin Sharma, Dolly Ahluwalia, Vinod Nagpal, Rahul Bagga, Rajendra Sethi, Munish Makhija, Herry Tangri;release_year: 2012;rating: TV-14;description: Fleeing London to evade a gangland debt collector, Omi Khurana returns to his native village in India, passing himself off as a successful lawyer.;"
"title: Main, Meri Patni Aur Woh;actors: Rajpal Yadav, Rituparna Sengupta, Kay Kay Menon, Varun Bandola, Vinod Nagpal, Naseeruddin Shah;release_year: 2005;rating: TV-PG;description: An ordinary-looking guy weds the woman of his dreams, but his jealousy threatens to destroy their union in this lighthearted tale of marital mismatch.;"
"title: Manje Bistre;actors: Gippy Grewal, Sonam Bajwa, Karamjit Anmol, Jaggi Singh, B.N. Sharma, Hobby Dhaliwal, Rana Ranbir, Sardar Sohi, Anita Devgan, Harby Sangha;release_year: 2017;rating: TV-14;description: While prepping for a family wedding, a young man falls for his sister’s friend, who has already been promised to someone else.;"
"title: Motor Mitraan Di;actors: Gurpreet Guggi, Happy Raikoti, Vikram Singh, Sonia Mann, Yograj Singh, Sardar Sohi, Harsharan Singh, Anita Meet, Prakash Gadhu, Gurmeet Sajan;release_year: 2016;rating: TV-PG;description: When three brothers unwittingly get entangled in a murder associated with a fraudulent ashram leader, they set out to expose him to society as a fake.;"
"title: Mugamoodi;actors: Jiiva, Pooja Hegde, Narain, Nasser, Girish Karnad, Anupama Kumar, Selvaah;release_year: 2012;rating: TV-14;description: A martial arts specialist accidentally becomes a superhero when he steps in – in costume – to help the cops catch a criminal.;"
"title: Muran;actors: Prasanna, Cheran, Haripriya, Nikhita, Suma Bhattacharya, Jayaprakash;release_year: 2011;rating: TV-14;description: When jingle composer Nanda's car breaks down on his way to Chennai, he hitchhikes there with Arjun, who tries to rope Nanda into a shady deal.;"
"title: My Friend Pinto;actors: Prateik, Kalki Koechlin, Arjun Mathur, Shruti Seth, Makrand Deshpande, Divya Dutta, Rajendranath Zutshi, Amin Hajee, Karim Hajee, Shakeel Khan;release_year: 2011;rating: TV-14;description: A bright-eyed villager comes face-to-face with the gritty realities of modern-day Mumbai when he sets out to find his childhood friend.;"
"title: My Little Pony Equestria Girls: Forgotten Friendship;actors: Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Nicole Oliver;release_year: 2018;rating: TV-Y;description: School yearbook editor Sunset Shimmer has suddenly been erased from the memories of her best friends and must find out how to fix this.;"
"title: My Little Pony Equestria Girls: Rollercoaster of Friendship;actors: Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Tegan Moss;release_year: 2018;rating: TV-Y;description: Rarity gets a summer job at Equestria Land, making Applejack feel jealous. But when their friends start vanishing, they must work together to find them.;"
"title: My Suicide;actors: Gabriel Sunday, David Carradine, Mariel Hemingway, Brooke Nevin, Nora Dunn, Michael Welch, Zachary Ray Sherman, Vanessa Lengies, Tony Hale, Joe Mantegna;release_year: 2009;rating: TV-MA;description: After declaring that he's going to film himself committing suicide for a school project, Archie videotapes reactions from friends and family.;"
"title: Naan Sigappu Manithan;actors: Vishal, Lakshmi Menon, Saranya Ponvannan, Jayaprakash, Sunder Ramu, Jagan, Iniya, Chetan Cheenu;release_year: 2014;rating: TV-14;description: After his sleeping disorder hinders him from protecting his girlfriend, a man sets out to take revenge on the thugs who attacked her.;"
"title: Nasha;actors: Shivam Patil, Poonam Pandey, Sheetal Singh, Vishal Bhosle, Rohan Khurana, Ranbir Chakma, Raj Kesaria, Chirag Lobo;release_year: 2013;rating: TV-14;description: A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.;"
"title: Naughty Jatts;actors: Neeru Bajwa, Binnu Dhillon, Arya Babbar, Roshan Prince, B.N. Sharma, Karamjit Anmol, Harby Sangha;release_year: 2013;rating: TV-PG;description: When three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest.;"
"title: Needhi Singh;actors: Kulraj Randhawa, Nirmal Rishi, Ashish Duggal, Aman Sutdhar, Dally Daljit, Seema Kaushal, Shubh Ghumman, Karan Tiwana;release_year: 2016;rating: TV-14;description: When her friend’s rapist evades punishment from the law, a determined young woman takes revenge into her own hands in this story based on real events.;"
"title: Peace Haven;actors: Soumitra Chatterjee, Paran Banerjee, Arun Mukherjee, Sujan Mukherjee;release_year: 2016;rating: TV-14;description: Complications around the cremation of their deceased friend inspire three septuagenarian friends to build their own mortuary.;"
"title: Phantom;actors: Saif Ali Khan, Katrina Kaif, Sabyasachi Chakraborty, Mohammed Zeeshan Ayyub, Sohaila Kapoor, Denzil Smith;release_year: 2015;rating: TV-14;description: India's primary intelligence agency sends an enigmatic operative on a top-secret mission to avenge the 11/26 terrorist attack on Mumbai.;"
"title: Pizza;actors: Akshay Oberoi, Parvathy Omanakuttan, Arunoday Singh, Dipannita Sharma, Rajesh Sharma, Omkar Das Manikpuri, Hussain Dalal, D. Santosh;release_year: 2014;rating: TV-14;description: A pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.;"
"title: Pooja Kiven Aa;actors: Miss Pooja, Tarun Khanna, Raj Singh Jhinger, Sahil Vedoliyaa, B.N. Sharma, Manoj Joshi, Anita Shabdeesh, Sardar Sohi;release_year: 2013;rating: TV-PG;description: When a woman arrives in Mumbai and hires three spirited boys to care for her estate, she discovers they're more trustworthy than her family members.;"
"title: Race;actors: Saif Ali Khan, Akshaye Khanna, Katrina Kaif, Bipasha Basu, Anil Kapoor, Sameera Reddy;release_year: 2008;rating: TV-14;description: The plot thickens around two horse-racing competitors when three beautiful women come into their lives and a murder is committed.;"
"title: Race 2;actors: Anil Kapoor, Saif Ali Khan, John Abraham, Deepika Padukone, Jacqueline Fernandez, Ameesha Patel, Rajesh Khattar, Chunky Pandey;release_year: 2013;rating: TV-14;description: In this sequel set in the world of horse racing, half-brothers Ranvir and Rajiv Singh return for another complex tale of love, greed and violence.;"
"title: Saadey CM Saab;actors: Harbhajan Mann, Kashish Singh, Gurpreet Guggi, Rahul Singh, Dev Gill, Inder Bajwa;release_year: 2015;rating: TV-PG;description: Three old friends who have always hated politics are in for a shock when the friend who dislikes politics the most is somehow elected head minister.;"
"title: Sat Shri Akaal England;actors: Ammy Virk, Monica Gill, Karamjit Anmol, Sardar Sohi, Jarnail Singh, Satwant Kaur, Harby Sangha, Baljinder Darapuri;release_year: 2017;rating: TV-14;description: After several failed attempts to obtain a visa, a man desperate to escape Punjab pays a British woman to marry him so he can move to England.;"
title: Strong;actors: Gabrielle Reece;release_year: 2016;rating: TV-14;description: Gabrielle Reece hosts a transformative competition of tough fitness challenges as 10 women partner with 10 elite personal trainers.;
"title: Thaandavam;actors: Vikram, Jagapathi Babu, Anushka Shetty, Amy Jackson, Lakshmi Rai, Santhanam, Nasser, Saranya Ponvannan;release_year: 2012;rating: TV-14;description: In London, a mysterious blind man named Kenny appears to be an assassin who uses echolocation to kill, but there is more to Kenny than meets the eye.;"
"title: The Birth Reborn;actors: empty;release_year: 2018;rating: TV-MA;description: Featuring experts in their fields and raw and moving footage, this documentary makes a case for increased autonomy in women's choices for childbirth.;"
"title: Theeya Velai Seyyanum Kumaru;actors: Siddarth, Santhanam, Hansika Motwani, Ganesh Venkatraman, RJ Balaji, Bosskey, Manobala, Chitra Lakshmanan;release_year: 2013;rating: TV-PG;description: When shy Kumar gets stuck on the losing end of a love triangle, the Love Doctor, Mokia, has a strategy for Kumar to win the love of his life.;"
"title: Three Wives One Husband;actors: empty;release_year: 2018;rating: TV-14;description: A film crew captures a year in the life of modern polygamist families at Rockland Ranch, a community for fundamentalist Mormons in the Utah desert.;"
"title: Tiger;actors: Sippy Gill, Ihana Dhillon, Yograj Singh, Yashpal Sharma, Deedar GIll, Rahul Jugraj, Virender Nath Lubana, Aneeta;release_year: 2016;rating: TV-14;description: Imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him.;"
"title: Udaan;actors: Rajat Barmecha, Ronit Roy, Ram Kapoor, Aayan Boradia, Manjot Singh, Anand Tiwari, Raja Hudda, Shaunak Sengupta, Varun Khettry, Akshay Sachdev;release_year: 2010;rating: TV-MA;description: Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.;"
"title: Vettai;actors: Arya, Madhavan, Sameera Reddy, Amala Paul, Nasser, Ashutosh Rana, Sreejith Ravi, Muthukumar;release_year: 2012;rating: TV-14;description: This powerful Tamil action film follows the shared fate of two very different siblings: policeman Thiru and his roguish brother, Guru.;"
"title: Wake Up Sid;actors: Ranbir Kapoor, Konkona Sen Sharma, Shruti Bapna, Krutika Bolaki, Namit Das, Munir Kabani, Mohsin Ali Khan, Anupam Kher, Rahul Khanna, Kainaz Motivala;release_year: 2009;rating: TV-14;description: A spoiled trust fund brat finds himself stuck in a rut of meaningless late-night parties – until he meets a significantly older woman and writer.;"
"title: We Are Family;actors: Kajol, Kareena Kapoor, Arjun Rampal, Nominath Ginsberg, Iravati Harshe, Aachal Munjal, Diya Sonecha;release_year: 2010;rating: TV-14;description: A divorced mother of three children runs a happy household – until her former husband brings his new career-oriented girlfriend into the picture.;"
